2001/01/2020,9.11,2,54,0,29.7,33.96,3.22
2001/01/2022,16.54,0.27,2,0,0,33.49,5.84
2001/04/2007,9.43,1.71,45,0,27.1,33.83,3.56
2001/04/2006,14.75,0.35,3,0,0,33.33,6.07
2001/04/2010,10.01,1.55,38,0,23.4,33.87,3.66
2001/04/2009,16.57,0.35,3,0,0,33.42,5.76
2001/04/2009,16.57,0.59,3,0,0,33.42,5.87
2001/04/2010,14.8,0.32,3,0,0,33.31,5.78
2001/04/2011,16.93,0.35,3,0,1.1,33.44,5.74
2001/04/2011,10.12,2.32,63,0,32.2,34.25,2.11
2001/04/2012,16.93,0.29,2,0,1.8,33.44,5.79
2001/07/2014,17.22,0.75,3,0.09,0.4,33.553,5.81
2001/04/2020,10.81,0.88,19,0,8.7,33.62,4.94
2001/04/2016,17.03,0.35,3,0,0,33.27,5.73
2001/04/2014,10.25,1.28,29,0.03,16.4,33.65,4.24
2001/04/2013,15.91,0.32,3,0,0.8,33.46,5.94
2001/04/2015,10.44,2.24,62,0,25.9,34.25,1.98
2001/04/2018,15.89,0.32,3,0,0,33.23,5.92
2001/04/2017,16.95,0.32,3,0,0,33.27,5.72
2001/04/2019,14.63,0.35,3,0,0,33.17,6.08
2001/07/2010,17.07,0.24,3,0,0,33.65,5.8
2001/04/2022,17.54,0.4,3,0,0,33.27,5.7
2001/04/2021,9.39,2.14,56,0,22.8,33.94,3.18
2001/04/2023,17.25,0.37,3,0,0,33.26,5.71
2001/07/2012,10.97,1.09,23,0,11.5,33.61,4.43
2001/07/2011,16.78,0.32,3,0,0,33.68,5.78
2001/07/2013,9.64,1.74,43,0,19.8,33.93,3.72
2001/07/2022,9.39,2.65,34.6,0.13,28.1,34.115,2.37
2001/07/2018,12.6,0.91,7.4,0.26,5.7,33.789,5.49
2001/07/2016,15.89,0.51,3.1,0.18,0.1,33.535,5.9
2001/07/2015,16.07,0.51,3,0.17,0,33.521,5.92
2001/07/2017,14.14,0.64,4.6,0.24,2.1,33.669,5.72
2001/07/2020,10.01,2.07,26.7,0.16,24.1,34.224,3.11
2001/07/2019,10.39,1.74,20.3,0.2,20,34.149,3.79
2001/07/2021,9.75,2.4,31.6,0.14,26.8,34.213,2.58
2001/07/2026,16.85,0.72,4,0.09,0.9,33.7,5.87
2001/07/2024,8.88,2.68,39.8,0.12,29.3,34.042,2.09
2001/07/2023,9.33,2.68,35,0.13,28.2,34.092,2.36
2001/07/2025,17.08,0.68,3,0.04,0.9,33.706,5.79
2001/10/2026,16.38,0.76,4.6,0.08,1.7,33.696,5.54
2001/10/2025,16.84,0.72,4.1,0.09,1,33.699,5.84
2001/10/2027,15.27,0.84,5.6,0.09,2.9,33.697,5.15
2002/07/2008,11.27,1.15,10.5,0.06,10.6,33.447,5.29
2002/03/2029,11.11,1.61,16.7,0.11,16.7,33.475,3.78
2002/01/2028,9.21,2.8,34.5,0.01,26.4,33.72,2.58
2001/11/2005,16.38,1,2,0.03,0,33.508,5.89
2001/11/2001,9.02,2.73,36.6,0.03,28.2,34.021,2.41
2001/10/2030,9.47,2.64,30.8,0.04,25.7,33.811,2.86
2001/10/2029,9.72,2.4,26.3,0.11,23.5,33.747,3.37
2001/10/2031,9.3,2.71,33.8,0.03,27,33.902,2.59
2001/11/2003,8.45,3.01,44.5,0.02,31,34.091,1.83
2001/11/2002,8.97,2.73,37,0.03,28.4,34.043,2.39
2001/11/2004,16.46,0.63,2,0,0.1,33.512,5.81
2002/01/2024,11,1.47,13,0.26,12.8,33.494,4.76
2001/11/2007,14.31,0.95,3.2,0.06,1.3,33.473,6.39
2001/11/2006,16.21,1,2.1,0.03,0.1,33.505,5.95
2001/11/2008,12.3,0.91,4.8,0.12,3.3,33.456,6.41
2002/01/2026,9.79,2.31,27.5,0.02,24.1,33.608,3.14
2002/01/2025,10.86,1.59,14.2,0.25,14,33.5,4.57
2002/01/2027,9.5,2.55,31.4,0.01,25.6,33.664,2.82
2002/02/2005,10.13,2.31,30.4,0.04,23.7,33.764,2.36
2002/02/2001,14.73,0.47,3,0,0,33.48,6.79
2002/01/2030,8.19,3.32,46.9,0.01,30.8,33.954,1.83
2002/01/2029,8.61,2.87,40.6,0.01,28.4,33.835,2.3
2002/01/2031,16.19,0.42,5,0.01,0,33.59,6.67
2002/02/2003,10.66,1.56,17,0.07,16.6,33.65,4.18
2002/02/2002,12.88,0.85,6.7,0.08,5.6,33.472,5.84
2002/02/2004,10.2,2.06,26,0.03,20.1,33.707,2.65
